Mese;Ora;Temperatura [°C]
1;1;7.546
1;2;8.912
1;3;8.844
1;4;8.792
1;5;8.71
1;6;8.606
1;7;8.522
1;8;8.665
1;9;10.131
1;10;11.032
1;11;11.372
1;12;11.485
1;13;11.481
1;14;11.351
1;15;11.096
1;16;10.521
1;17;9.071
1;18;8.531
1;19;8.314
1;20;8.153
1;21;8.017
1;22;7.855
1;23;7.587
1;24;7.23
1;1;6.858
1;2;6.492
1;3;6.136
1;4;5.776
1;5;5.555
1;6;5.498
1;7;5.486
1;8;5.926
1;9;8.012
1;10;9.446
1;11;11.095
1;12;11.685
1;13;11.877
1;14;11.889
1;15;11.746
1;16;10.998
1;17;9.735
1;18;8.985
1;19;8.155
1;20;7.433
1;21;7.151
1;22;7.225
1;23;7.374
1;24;7.569
1;1;7.618
1;2;7.481
1;3;7.263
1;4;7.099
1;5;7.133
1;6;7.095
1;7;7.075
1;8;7.306
1;9;7.985
1;10;8.489
1;11;8.64
1;12;8.455
1;13;8.174
1;14;7.895
1;15;7.519
1;16;7.01
1;17;6.423
1;18;6.14
1;19;6.068
1;20;5.892
1;21;5.613
1;22;5.371
1;23;5.134
1;24;4.962
1;1;4.835
1;2;4.738
1;3;4.645
1;4;4.521
1;5;4.352
1;6;4.157
1;7;4.004
1;8;4.046
1;9;4.709
1;10;4.958
1;11;4.858
1;12;4.681
1;13;4.615
1;14;4.671
1;15;4.646
1;16;4.421
1;17;4.182
1;18;4.233
1;19;4.248
1;20;4.301
1;21;4.337
1;22;4.25
1;23;4.309
1;24;4.248
1;1;4.117
1;2;3.947
1;3;4.009
1;4;3.943
1;5;4.157
1;6;4.22
1;7;4.097
1;8;4.018
1;9;5.822
1;10;6.969
1;11;7.423
1;12;7.705
1;13;7.914
1;14;7.998
1;15;7.856
1;16;7.37
1;17;6.171
1;18;5.851
1;19;5.847
1;20;6.11
1;21;6.403
1;22;6.484
1;23;6.38
1;24;6.213
1;1;6.056
1;2;5.97
1;3;6.264
1;4;6.894
1;5;7.543
1;6;7.665
1;7;7.414
1;8;7.845
1;9;9.547
1;10;10.474
1;11;10.795
1;12;10.794
1;13;10.715
1;14;10.617
1;15;10.428
1;16;9.836
1;17;8.994
1;18;8.6
1;19;8.574
1;20;8.587
1;21;8.415
1;22;7.779
1;23;7.088
1;24;6.619
1;1;6.326
1;2;6.044
1;3;5.808
1;4;5.615
1;5;5.503
1;6;5.432
1;7;5.36
1;8;5.485
1;9;6.484
1;10;6.877
1;11;6.965
1;12;6.948
1;13;6.843
1;14;6.652
1;15;6.562
1;16;6.238
1;17;5.241
1;18;5.195
1;19;5.283
1;20;5.236
1;21;5.188
1;22;4.792
1;23;4.046
1;24;3.52
1;1;3.115
1;2;2.81
1;3;2.54
1;4;2.31
1;5;2.202
1;6;2.249
1;7;2.363
1;8;2.928
1;9;5.333
1;10;6.815
1;11;7.474
1;12;7.831
1;13;8.045
1;14;8.115
1;15;8.191
1;16;8.048
1;17;6.839
1;18;6.562
1;19;6.772
1;20;7.053
1;21;7.361
1;22;7.659
1;23;7.871
1;24;8.044
1;1;8.194
1;2;8.371
1;3;8.501
1;4;8.533
1;5;8.597
1;6;8.701
1;7;8.84
1;8;9.199
1;9;9.892
1;10;10.493
1;11;10.54
1;12;10.441
1;13;10.268
1;14;10.036
1;15;9.729
1;16;9.346
1;17;8.822
1;18;8.638
1;19;8.632
1;20;8.605
1;21;8.462
1;22;8.187
1;23;8.053
1;24;7.996
1;1;7.951
1;2;8.092
1;3;8.393
1;4;8.69
1;5;8.759
1;6;8.542
1;7;7.952
1;8;8.07
1;9;8.286
1;10;8.049
1;11;7.763
1;12;7.686
1;13;7.977
1;14;8.115
1;15;8.272
1;16;8.442
1;17;7.847
1;18;7.658
1;19;7.319
1;20;6.892
1;21;6.664
1;22;6.466
1;23;6.313
1;24;6.146
1;1;6.019
1;2;5.925
1;3;5.761
1;4;5.547
1;5;5.472
1;6;5.513
1;7;5.571
1;8;5.889
1;9;7.574
1;10;8.777
1;11;9.15
1;12;9.074
1;13;9.004
1;14;9.116
1;15;9.214
1;16;8.811
1;17;7.378
1;18;6.85
1;19;6.694
1;20;6.647
1;21;6.619
1;22;6.551
1;23;6.49
1;24;6.429
1;1;6.341
1;2;6.244
1;3;6.109
1;4;6.007
1;5;5.943
1;6;5.893
1;7;5.814
1;8;6.096
1;9;7.703
1;10;8.541
1;11;8.924
1;12;9.239
1;13;9.416
1;14;9.422
1;15;9.233
1;16;8.778
1;17;7.594
1;18;7.007
1;19;6.795
1;20;6.623
1;21;6.444
1;22;6.302
1;23;6.328
1;24;6.321
1;1;6.165
1;2;6
1;3;6.021
1;4;6.134
1;5;6.033
1;6;5.863
1;7;5.759
1;8;6.153
1;9;8.299
1;10;9.722
1;11;10.718
1;12;10.885
1;13;10.699
1;14;10.395
1;15;9.702
1;16;8.726
1;17;7.79
1;18;7.196
1;19;6.819
1;20;6.497
1;21;6.297
1;22;6.136
1;23;5.909
1;24;5.797
1;1;5.717
1;2;5.646
1;3;5.691
1;4;5.974
1;5;6.38
1;6;6.797
1;7;7.205
1;8;7.619
1;9;8.337
1;10;8.926
1;11;9.173
1;12;9.292
1;13;9.38
