# Renewables.ninja Solar PV (Point API) - 40.439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Units: time in UTC; electricity in kW;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""electricity"": ""kW""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;
time;electricity;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
01/01/2019 00:00;0;;;Gennaio;1;0;0;0;0;0;0;0.16;0.66;1.12;1.37;1.43;1.35;1.13;0.81;0.4;0.03;0;0;0;0;0;0;0;0
01/01/2019 01:00;0;;;Febbraio;2;0;0;0;0;0;0.02;0.47;1.01;1.46;1.68;1.72;1.67;1.54;1.22;0.74;0.21;0;0;0;0;0;0;0;0
01/01/2019 02:00;0;;;Marzo;3;0;0;0;0;0;0.15;0.68;1.22;1.65;1.93;2.05;1.99;1.78;1.44;1.01;0.48;0.05;0;0;0;0;0;0;0
01/01/2019 03:00;0;;;Aprile;4;0;0;0;0;0.02;0.27;0.69;1.1;1.43;1.69;1.78;1.74;1.58;1.32;0.95;0.53;0.15;0;0;0;0;0;0;0
01/01/2019 04:00;0;;;Maggio;5;0;0;0;0;0.09;0.41;0.83;1.23;1.53;1.76;1.82;1.74;1.56;1.32;1;0.62;0.24;0.04;0;0;0;0;0;0
01/01/2019 05:00;0;;;Giugno;6;0;0;0;0;0.12;0.45;0.89;1.29;1.59;1.8;1.89;1.84;1.69;1.45;1.13;0.74;0.32;0.08;0;0;0;0;0;0
01/01/2019 06:00;0.154;;;Luglio;7;0;0;0;0;0.1;0.42;0.89;1.31;1.65;1.87;1.96;1.95;1.82;1.56;1.17;0.74;0.31;0.06;0;0;0;0;0;0
01/01/2019 07:00;0.884;;;Agosto;8;0;0;0;0;0.05;0.35;0.84;1.29;1.62;1.84;1.96;1.96;1.83;1.55;1.14;0.68;0.23;0.01;0;0;0;0;0;0
01/01/2019 08:00;1.468;;;Settembre;9;0;0;0;0;0;0.19;0.64;1.05;1.39;1.62;1.71;1.68;1.54;1.29;0.92;0.47;0.08;0;0;0;0;0;0;0
01/01/2019 09:00;1.809;;;Ottobre;10;0;0;0;0;0;0.05;0.5;1.06;1.5;1.77;1.88;1.84;1.65;1.36;0.92;0.37;0;0;0;0;0;0;0;0
01/01/2019 10:00;1.957;;;Novembre;11;0;0;0;0;0;0;0.16;0.57;0.94;1.21;1.32;1.32;1.17;0.88;0.47;0.06;0;0;0;0;0;0;0;0
01/01/2019 11:00;1.936;;;Dicembre;12;0;0;0;0;0;0;0.08;0.52;0.94;1.18;1.22;1.12;0.98;0.73;0.36;0.01;0;0;0;0;0;0;0;0
01/01/2019 12:00;1.739;;;;;;;;;;;;;;;;;;;;;;;;;;;;
